"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"NettoWoonlasten_3";"BijkomendeWoonlasten_4";"Woonquote_5"
"281870";"A047048";"ZW10290";"NL01  ";"2018JJ00";"     985";"     762";"     222";"    37.8"
"281871";"A047048";"ZW10290";"NL01  ";"2019JJ00";"    1018";"     786";"     232";"    37.5"
"281872";"A047048";"ZW10290";"NL01  ";"2020JJ00";"    1026";"     814";"     212";"    36.6"
"281873";"A047048";"ZW10290";"NL01  ";"2021JJ00";"    1075";"     844";"     230";"    36.7"
"281874";"A047048";"ZW10290";"NL01  ";"2022JJ00";"";"";"";"       ."
"281875";"A047048";"ZW10290";"GM1680";"2018JJ00";"    1027";"     772";"     255";"    38.4"
"281876";"A047048";"ZW10290";"GM1680";"2019JJ00";"";"";"";"       ."
"281877";"A047048";"ZW10290";"GM1680";"2020JJ00";"";"";"";"       ."
"281878";"A047048";"ZW10290";"GM1680";"2021JJ00";"";"";"";"       ."
"281879";"A047048";"ZW10290";"GM1680";"2022JJ00";"";"";"";"       ."
"281880";"A047048";"ZW10290";"GM0738";"2018JJ00";"     952";"     712";"     241";"    40.5"
"281881";"A047048";"ZW10290";"GM0738";"2019JJ00";"";"";"";"       ."
"281882";"A047048";"ZW10290";"GM0738";"2020JJ00";"";"";"";"       ."
"281883";"A047048";"ZW10290";"GM0738";"2021JJ00";"";"";"";"       ."
"281884";"A047048";"ZW10290";"GM0738";"2022JJ00";"";"";"";"       ."
"281885";"A047048";"ZW10290";"GM0358";"2018JJ00";"";"";"";"       ."
"281886";"A047048";"ZW10290";"GM0358";"2019JJ00";"";"";"";"       ."
"281887";"A047048";"ZW10290";"GM0358";"2020JJ00";"";"";"";"       ."
"281888";"A047048";"ZW10290";"GM0358";"2021JJ00";"";"";"";"       ."
"281889";"A047048";"ZW10290";"GM0358";"2022JJ00";"";"";"";"       ."
"281890";"A047048";"ZW10290";"GM0197";"2018JJ00";"     906";"     675";"     231";"    37.3"
"281891";"A047048";"ZW10290";"GM0197";"2019JJ00";"     939";"     698";"     240";"    35.6"
"281892";"A047048";"ZW10290";"GM0197";"2020JJ00";"";"";"";"       ."
"281893";"A047048";"ZW10290";"GM0197";"2021JJ00";"     943";"     704";"     239";"    36.0"
"281894";"A047048";"ZW10290";"GM0197";"2022JJ00";"     927";"     714";"     213";"    32.9"
"281895";"A047048";"ZW10290";"GM0059";"2018JJ00";"     908";"     633";"     275";"    37.8"
"281896";"A047048";"ZW10290";"GM0059";"2019JJ00";"     941";"     661";"     280";"    36.8"
"281897";"A047048";"ZW10290";"GM0059";"2020JJ00";"";"";"";"       ."
"281898";"A047048";"ZW10290";"GM0059";"2021JJ00";"     931";"     650";"     281";"    35.9"
"281899";"A047048";"ZW10290";"GM0059";"2022JJ00";"     962";"     701";"     261";"    34.3"
"281900";"A047048";"ZW10290";"GM0482";"2018JJ00";"";"";"";"       ."
"281901";"A047048";"ZW10290";"GM0482";"2019JJ00";"     826";"     614";"     211";"    34.7"
"281902";"A047048";"ZW10290";"GM0482";"2020JJ00";"     853";"     653";"     200";"    33.1"
"281903";"A047048";"ZW10290";"GM0482";"2021JJ00";"     944";"     728";"     216";"    34.2"
"281904";"A047048";"ZW10290";"GM0482";"2022JJ00";"";"";"";"       ."
"281905";"A047048";"ZW10290";"GM0613";"2018JJ00";"";"";"";"       ."
"281906";"A047048";"ZW10290";"GM0613";"2019JJ00";"";"";"";"       ."
"281907";"A047048";"ZW10290";"GM0613";"2020JJ00";"    1127";"     911";"     216";"    37.5"
"281908";"A047048";"ZW10290";"GM0613";"2021JJ00";"    1165";"     928";"     238";"    38.0"
"281909";"A047048";"ZW10290";"GM0613";"2022JJ00";"    1205";"     989";"     216";"    36.0"
